ID,Acceptance_Date,Faculty,Homeland,Current_Country,City,County,Highschool,Year_Of_Birth,Internal_Bagrut,math_score_11,math_score_12,physics_score_11,physics_score_12,learning_dis,english_test,english_grade,english_test_type,sorting_test,s_t_math_grade,s_t_physics_grade,s_t_final,s_t_type,university,interview_grade,scholarship,accepted,Pass_mechina,comments,prediction_res
112,12-05-15,Civil,Israel,Israel,East Jerusalem,,St. George's school in East Jerusalem,1996,73.2,,96.66666667,,66,0,0,,None,0,,,,None,0,1,0,Rejected,0,,
113,26-05-15,Civil,Israel,USA,Haifa,,Provo High School ,1996,94,,71,,93.5,0,0,,None,1,24,,27,ACT,0,1,0,Rejected,0,,
114,04-06-15,Civil,South Sudan,Kenya,,,Kakuma Refugee Secondary School ,1993,,,78,,,0,0,,None,0,,,,None,0,1,0,Rejected,0,,
115,31-03-15,Civil,Israel,USA,Haifa,,Palm Springs High School,1997,88,,88,84.5,84.5,0,0,,None,1,600,,1690,SAT,0,2,0,Rejected,0,,
116,19-05-14,Civil,India,India,Palanpur,,Prakash Higher Secondary School ,1996,86,95,85,85,95,0,0,,None,0,,,,None,1,3,1,Accepted,1,,
117,05-07-15,Civil,Ethiopia,Ethiopia,,,,,,,89.5,,86,0,,,None,,,,,None,0,3,,Accepted,1,,
118,05-07-15,Civil,Ethiopia,Ethiopia,,,,,89,,83,,85,0,,,None,,,,,None,0,3,,Accepted,1,,
119,05-07-15,Civil,Ethiopia,Ethiopia,,,,,89.5,,94,,85,0,,,None,,,,,None,0,3,,Accepted,1,,
120,05-07-15,Civil,Ethiopia,Ethiopia,,,,,89,,92,,88.5,0,,,None,,,,,None,0,3,,Accepted,1,,
121,05-07-15,Civil,Ethiopia,Ethiopia,,,,,88,94,89.5,96,90,0,,,None,,,,,None,0,3,,Accepted,1,,
122,05-07-15,Civil,Ethiopia,Ethiopia,,,,,84,87,95,,83.5,0,,,None,,,,,None,,,0,Accepted,1,,
